AdCode,Province,Prefecture,County,方言大区,方言区/语支,方言片/语种,SGroup,DiaGroup,SubDiaGroup
130609,河北省,保定市,徐水区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130681,河北省,保定市,涿州市,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130682,河北省,保定市,定州市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130683,河北省,保定市,安国市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130684,河北省,保定市,高碑店市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130623,河北省,保定市,涞水县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130624,河北省,保定市,阜平县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130626,河北省,保定市,定兴县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130627,河北省,保定市,唐县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130628,河北省,保定市,高阳县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130629,河北省,保定市,容城县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130630,河北省,保定市,涞源县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130631,河北省,保定市,望都县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130632,河北省,保定市,安新县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130633,河北省,保定市,易县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130634,河北省,保定市,曲阳县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130635,河北省,保定市,蠡县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130636,河北省,保定市,顺平县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130637,河北省,保定市,博野县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130638,河北省,保定市,雄县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130703,河北省,张家口市,张家口市桥西区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130702,河北省,张家口市,张家口市桥东区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130705,河北省,张家口市,宣化区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130706,河北省,张家口市,下花园区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130708,河北省,张家口市,万全区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130709,河北省,张家口市,崇礼区,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130722,河北省,张家口市,张北县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130723,河北省,张家口市,康保县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130724,河北省,张家口市,沽源县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130725,河北省,张家口市,尚义县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130726,河北省,张家口市,蔚县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130727,河北省,张家口市,阳原县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130728,河北省,张家口市,怀安县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130730,河北省,张家口市,怀来县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130731,河北省,张家口市,涿鹿县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130732,河北省,张家口市,赤城县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130802,河北省,承德市,双桥区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130803,河北省,承德市,双滦区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130804,河北省,承德市,鹰手营子矿区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130881,河北省,承德市,平泉市,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130821,河北省,承德市,承德县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130822,河北省,承德市,兴隆县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130824,河北省,承德市,滦平县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130825,河北省,承德市,隆化县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130826,河北省,承德市,丰宁满族自治县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130827,河北省,承德市,宽城满族自治县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130828,河北省,承德市,围场满族蒙古族自治县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
130903,河北省,沧州市,运河区,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130902,河北省,沧州市,沧州市新华区,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130981,河北省,沧州市,泊头市,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130982,河北省,沧州市,任丘市,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130983,河北省,沧州市,黄骅市,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130984,河北省,沧州市,河间市,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130921,河北省,沧州市,沧县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130922,河北省,沧州市,青县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130923,河北省,沧州市,东光县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130924,河北省,沧州市,海兴县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130925,河北省,沧州市,盐山县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130926,河北省,沧州市,肃宁县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130927,河北省,沧州市,南皮县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130928,河北省,沧州市,吴桥县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130929,河北省,沧州市,献县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
130930,河北省,沧州市,孟村回族自治县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
131003,河北省,廊坊市,广阳区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131002,河北省,廊坊市,安次区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131081,河北省,廊坊市,霸州市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
131082,河北省,廊坊市,三河市,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131022,河北省,廊坊市,固安县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131023,河北省,廊坊市,永清县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
131024,河北省,廊坊市,香河县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131025,河北省,廊坊市,大城县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
131026,河北省,廊坊市,文安县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
131028,河北省,廊坊市,大厂回族自治县,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
131102,河北省,衡水市,桃城区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131103,河北省,衡水市,冀州区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131182,河北省,衡水市,深州市,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131121,河北省,衡水市,枣强县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131122,河北省,衡水市,武邑县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131123,河北省,衡水市,武强县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131124,河北省,衡水市,饶阳县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131125,河北省,衡水市,安平县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131126,河北省,衡水市,故城县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
131127,河北省,衡水市,景县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
131128,河北省,衡水市,阜城县,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
140107,山西省,太原市,杏花岭区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140105,山西省,太原市,小店区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140106,山西省,太原市,迎泽区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140108,山西省,太原市,尖草坪区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140109,山西省,太原市,万柏林区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140110,山西省,太原市,晋源区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140181,山西省,太原市,古交市,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140121,山西省,太原市,清徐县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140122,山西省,太原市,阳曲县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140123,山西省,太原市,娄烦县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140202,山西省,大同市,大同市城区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140203,山西省,大同市,大同市矿区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140211,山西省,大同市,南郊区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140212,山西省,大同市,新荣区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140221,山西省,大同市,阳高县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140222,山西省,大同市,天镇县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140223,山西省,大同市,广灵县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
140224,山西省,大同市,灵丘县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140225,山西省,大同市,浑源县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140226,山西省,大同市,左云县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140227,山西省,大同市,大同县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140302,山西省,阳泉市,阳泉市城区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140303,山西省,阳泉市,阳泉市矿区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140311,山西省,阳泉市,阳泉市郊区,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140321,山西省,阳泉市,平定县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140322,山西省,阳泉市,盂县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140402,山西省,长治市,长治市城区,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140411,山西省,长治市,长治市郊区,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140481,山西省,长治市,潞城市,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140421,山西省,长治市,长治县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140423,山西省,长治市,襄垣县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140424,山西省,长治市,屯留县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140425,山西省,长治市,平顺县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140426,山西省,长治市,黎城县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140427,山西省,长治市,壶关县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140428,山西省,长治市,长子县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140429,山西省,长治市,武乡县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140430,山西省,长治市,沁县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140431,山西省,长治市,沁源县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140502,山西省,晋城市,晋城市城区,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140581,山西省,晋城市,高平市,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140521,山西省,晋城市,沁水县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140522,山西省,晋城市,阳城县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140524,山西省,晋城市,陵川县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140525,山西省,晋城市,泽州县,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
140602,山西省,朔州市,朔城区,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140603,山西省,朔州市,平鲁区,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140621,山西省,朔州市,山阴县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140622,山西省,朔州市,应县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140623,山西省,朔州市,右玉县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140624,山西省,朔州市,怀仁县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140702,山西省,晋中市,榆次区,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140781,山西省,晋中市,介休市,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140721,山西省,晋中市,榆社县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140722,山西省,晋中市,左权县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140723,山西省,晋中市,和顺县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140724,山西省,晋中市,昔阳县,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
140725,山西省,晋中市,寿阳县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140726,山西省,晋中市,太谷县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140727,山西省,晋中市,祁县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140728,山西省,晋中市,平遥县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140729,山西省,晋中市,灵石县,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
140802,山西省,运城市,盐湖区,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140881,山西省,运城市,永济市,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140882,山西省,运城市,河津市,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140821,山西省,运城市,临猗县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140822,山西省,运城市,万荣县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140823,山西省,运城市,闻喜县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140824,山西省,运城市,稷山县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140825,山西省,运城市,新绛县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140826,山西省,运城市,绛县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140827,山西省,运城市,垣曲县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140828,山西省,运城市,夏县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140829,山西省,运城市,平陆县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140830,山西省,运城市,芮城县,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
140902,山西省,忻州市,忻府区,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140981,山西省,忻州市,原平市,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140921,山西省,忻州市,定襄县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140922,山西省,忻州市,五台县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140923,山西省,忻州市,代县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140924,山西省,忻州市,繁峙县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140925,山西省,忻州市,宁武县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140926,山西省,忻州市,静乐县,非官话,晋,吕梁片,Non-Mandarin,Jin,Lvliang
140927,山西省,忻州市,神池县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140928,山西省,忻州市,五寨县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140929,山西省,忻州市,岢岚县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140930,山西省,忻州市,河曲县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
140931,山西省,忻州市,保德县,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
